Title,URL,Price,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,overall_rating,No_of_ratings,cover_img_url
Oswaal CBSE Sample Question Papers Class 12 Mathematics (For 2023 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Sample-Question-Papers-Mathematics/dp/9356343578/ref=zg_bs_4149807031_sccl_3/000-0000000-0000000?psc=1,167.2,0.7,0.13,0.04,0.04,0.09,4.3,123.0,"https://m.media-amazon.com/images/I/51C7oAlArNL._SY344_BO1,204,203,200_.jpg"
Educart CBSE Class 10 Final Revision 2023 - Maths Standard + Science + SST + English (Practice Sample Papers Includes access to All India Offline Pre-board Exam 2022-23),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Educart-Revision-Standard-Science-including/dp/935561280X/ref=zg_bs_4149807031_sccl_4/000-0000000-0000000?psc=1,435.1,0.64,0.17,0.04,0.05,0.1,4.2,244.0,"https://m.media-amazon.com/images/I/51doySChKKL._SY344_BO1,204,203,200_.jpg"
"CBSE LMP CLASS 10 (ENGLISH, SCIENCE, MATHEMATICS STANDARD & SOCIAL SCIENCE) (2023)",http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/ENGLISH-SCIENCE-MATHEMATICS-STANDARD-SOCIAL/dp/9356342911/ref=zg_bs_4149807031_sccl_7/000-0000000-0000000?psc=1,294.41,0.61,0.17,0.09,0.04,0.08,4.2,103.0,"https://m.media-amazon.com/images/I/51a-Oavzn6L._SY344_BO1,204,203,200_.jpg"
"International Mathematics Olympiad (IMO) Work Book for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - Olympiad Books For 2022-2023 Exam",http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/International-Mathematics-Olympiad-Work-Class/dp/9355552122/ref=zg_bs_4149807031_sccl_8/000-0000000-0000000?psc=1,79.2,0.66,0.22,0.09,0.02,0.02,4.5,291.0,"https://m.media-amazon.com/images/I/41vGigzJy0L._SY264_BO1,204,203,200_QL40_ML2_.jpg"
Oswaal CBSE Sample Question Papers Class 12 Accountancy (For 2023 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Sample-Question-Papers-Accountancy/dp/9356343594/ref=zg_bs_4149807031_sccl_12/000-0000000-0000000?psc=1,195.2,0.71,0.18,0.04,0.04,0.02,4.5,60.0,"https://m.media-amazon.com/images/I/51OVOK85ZnL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departed,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Top-Five-Regrets-Dying-Transformed/dp/9385827626/ref=zg_bs_4149807031_sccl_13/000-0000000-0000000?psc=1,269.8,0.69,0.2,0.09,0.02,0.02,4.5,3016.0,"https://m.media-amazon.com/images/I/51haWlcFejL._SY344_BO1,204,203,200_.jpg"
What to Expect When You're Expecting,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/What-Expect-When-Youre-Expecting/dp/1471147533/ref=zg_bs_4149807031_sccl_15/000-0000000-0000000?psc=1,344.44,0.65,0.22,0.07,0.02,0.03,4.4,30085.0,"https://m.media-amazon.com/images/I/51Q6LwIFzcL._SY344_BO1,204,203,200_.jpg"
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Science Book (For 2022-23 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Question-Science-Latest-released/dp/9355951396/ref=zg_bs_4149807031_sccl_18/000-0000000-0000000?psc=1,335.2,0.66,0.21,0.06,0.02,0.06,4.4,814.0,"https://m.media-amazon.com/images/I/514irGpGFeL._SY344_BO1,204,203,200_.jpg"
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Social Science Book (For 2022-23 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Question-Social-Science-released/dp/9355951329/ref=zg_bs_4149807031_sccl_19/000-0000000-0000000?psc=1,335.2,0.63,0.23,0.06,0.02,0.07,4.3,648.0,"https://m.media-amazon.com/images/I/61T0Lj6FzGL._SY344_BO1,204,203,200_.jpg"
Everyday Vocabulary More Than 6100 Words,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Everyday-Vocabulary-More-Than-Words/dp/9350944820/ref=zg_bs_4149807031_sccl_3/000-0000000-0000000?psc=1,67.5,0.52,0.22,0.13,0.05,0.08,4.1,3371.0,"https://m.media-amazon.com/images/I/4152+y8jmaL._SY344_BO1,204,203,200_.jpg"
Mathematics for Class 8 - CBSE - by R.S. Aggarwal Examination,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Mathematics-Class-Aggarwal-2018-19-Session/dp/9350271753/ref=zg_bs_4149807031_sccl_20/000-0000000-0000000?psc=1,250.4,0.7,0.19,0.05,0.02,0.04,4.5,1950.0,"https://m.media-amazon.com/images/I/51+IrjvULYL._SY344_BO1,204,203,200_.jpg"
Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2023-2024,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_4149807031_sccl_30/000-0000000-0000000?psc=1,247.2,0.7,0.18,0.05,0.02,0.05,4.5,2178.0,"https://m.media-amazon.com/images/I/41Dbfptd8rL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Mathematics Standard Book (For 2022-23 Exam),http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/Oswaal-Question-Mathematics-Standard-released/dp/9355951531/ref=zg_bs_4149807031_sccl_2/000-0000000-0000000?psc=1,338.4,0.66,0.22,0.05,0.01,0.05,4.4,548.0,"https://m.media-amazon.com/images/I/51DiORbOEHL._SY344_BO1,204,203,200_.jpg"
NCERT Solutions Mathematics 12th,http://api.scraperapi.com?api_key=a174547de4ed80b1a16124d892a86fbd&url=https://www.amazon.in/CBSE-NCERT-Solutions-Mathematics-2018/dp/9351416127/ref=zg_bs_4149807031_sccl_4/000-0000000-0000000?psc=1,171.0,0.65,0.19,0.08,0.02,0.06,4.4,2283.0,"https://m.media-amazon.com/images/I/41JEEt6ZAOL._SY264_BO1,204,203,200_QL40_ML2_.jpg"
